home,away,games
ARI,COL,7
ARI,LAD,7
ATL,MIA,7
ATL,WSN,7
BAL,BOS,7
BAL,NYY,7
BOS,TBR,7
BOS,TOR,7
CHC,PIT,7
CHC,STL,7
CHW,CLE,7
CHW,DET,7
CIN,CHC,7
CIN,MIL,7
CLE,DET,7
CLE,MIN,7
COL,LAD,7
COL,SDP,7
DET,KCR,7
DET,MIN,7
HOU,LAA,7
HOU,OAK,7
KCR,CHW,7
KCR,CLE,7
LAA,OAK,7
LAA,SEA,7
LAD,SDP,7
LAD,SFG,7
MIA,NYM,7
MIA,PHI,7
MIL,CHC,7
MIL,STL,7
MIN,CHW,7
MIN,KCR,7
NYM,ATL,7
NYM,PHI,7
NYY,BOS,7
NYY,TBR,7
OAK,SEA,7
OAK,TEX,7
PHI,ATL,7
PHI,WSN,7
PIT,CIN,7
PIT,MIL,7
SDP,ARI,7
SDP,SFG,7
SEA,HOU,7
SEA,TEX,7
SFG,ARI,7
SFG,COL,7
STL,CIN,7
STL,PIT,7
TBR,BAL,7
TBR,TOR,7
TEX,HOU,7
TEX,LAA,7
TOR,BAL,7
TOR,NYY,7
WSN,MIA,7
WSN,NYM,7
ARI,SDP,6
ARI,SFG,6
ATL,NYM,6
ATL,PHI,6
BAL,TBR,6
BAL,TOR,6
BOS,BAL,6
BOS,NYY,6
CHC,CIN,6
CHC,MIL,6
CHW,KCR,6
CHW,MIN,6
CIN,PIT,6
CIN,STL,6
CLE,CHW,6
CLE,KCR,6
COL,ARI,6
COL,SFG,6
DET,CHW,6
DET,CLE,6
HOU,SEA,6
HOU,TEX,6
KCR,DET,6
KCR,MIN,6
LAA,HOU,6
LAA,TEX,6
LAD,ARI,6
LAD,COL,6
MIA,ATL,6
MIA,WSN,6
MIL,CIN,6
MIL,PIT,6
MIN,CLE,6
MIN,DET,6
NYM,MIA,6
NYM,WSN,6
NYY,BAL,6
NYY,TOR,6
OAK,HOU,6
OAK,LAA,6
PHI,MIA,6
PHI,NYM,6
PIT,CHC,6
PIT,STL,6
