away,home,date
LAD,SDP,2024-03-20
SDP,LAD,2024-03-21
MIL,NYM,2024-03-28
LAA,BAL,2024-03-28
ATL,PHI,2024-03-28
WSN,CIN,2024-03-28
SFG,SDP,2024-03-28
STL,LAD,2024-03-28
TOR,TBR,2024-03-28
MIN,KCR,2024-03-28
DET,CHW,2024-03-28
PIT,MIA,2024-03-28
NYY,HOU,2024-03-28
CHC,TEX,2024-03-28
CLE,OAK,2024-03-28
COL,ARI,2024-03-28
BOS,SEA,2024-03-28
TOR,TBR,2024-03-29
PIT,MIA,2024-03-29
NYY,HOU,2024-03-29
COL,ARI,2024-03-29
CLE,OAK,2024-03-29
BOS,SEA,2024-03-29
SFG,SDP,2024-03-29
STL,LAD,2024-03-29
MIL,NYM,2024-03-30
DET,CHW,2024-03-30
LAA,BAL,2024-03-30
ATL,PHI,2024-03-30
CLE,OAK,2024-03-30
WSN,CIN,2024-03-30
TOR,TBR,2024-03-30
MIN,KCR,2024-03-30
PIT,MIA,2024-03-30
CHC,TEX,2024-03-30
SFG,SDP,2024-03-30
NYY,HOU,2024-03-30
COL,ARI,2024-03-30
STL,LAD,2024-03-30
BOS,SEA,2024-03-30
LAA,BAL,2024-03-31
ATL,PHI,2024-03-31
WSN,CIN,2024-03-31
TOR,TBR,2024-03-31
PIT,MIA,2024-03-31
MIL,NYM,2024-03-31
MIN,KCR,2024-03-31
DET,CHW,2024-03-31
NYY,HOU,2024-03-31
CHC,TEX,2024-03-31
CLE,OAK,2024-03-31
COL,ARI,2024-03-31
BOS,SEA,2024-03-31
SFG,SDP,2024-03-31
STL,LAD,2024-03-31
ATL,CHW,2024-04-01
COL,CHC,2024-04-01
PIT,WSN,2024-04-01
KCR,BAL,2024-04-01
CIN,PHI,2024-04-01
LAA,MIA,2024-04-01
TEX,TBR,2024-04-01
DET,NYM,2024-04-01
TOR,HOU,2024-04-01
BOS,OAK,2024-04-01
CLE,SEA,2024-04-01
STL,SDP,2024-04-01
NYY,ARI,2024-04-01
SFG,LAD,2024-04-01
MIN,MIL,2024-04-02
KCR,BAL,2024-04-02
CIN,PHI,2024-04-02
LAA,MIA,2024-04-02
TEX,TBR,2024-04-02
DET,NYM,2024-04-02
COL,CHC,2024-04-02
ATL,CHW,2024-04-02
TOR,HOU,2024-04-02
BOS,OAK,2024-04-02
CLE,SEA,2024-04-02
STL,SDP,2024-04-02
NYY,ARI,2024-04-02
SFG,LAD,2024-04-02
KCR,BAL,2024-04-03
CIN,PHI,2024-04-03
TEX,TBR,2024-04-03
LAA,MIA,2024-04-03
MIN,MIL,2024-04-03
ATL,CHW,2024-04-03
BOS,OAK,2024-04-03
NYY,ARI,2024-04-03
CLE,SEA,2024-04-03
STL,SDP,2024-04-03
PIT,WSN,2024-04-03
DET,NYM,2024-04-03
COL,CHC,2024-04-03
TOR,HOU,2024-04-03
SFG,LAD,2024-04-03
PIT,WSN,2024-04-04
CLE,MIN,2024-04-04
MIA,STL,2024-04-04
CHW,KCR,2024-04-04
TOR,NYY,2024-04-05
OAK,DET,2024-04-05
LAD,CHC,2024-04-05
TBR,COL,2024-04-05
BAL,PIT,2024-04-05
SDP,SFG,2024-04-05
NYM,CIN,2024-04-05
PHI,WSN,2024-04-05
ARI,ATL,2024-04-05
CHW,KCR,2024-04-05
HOU,TEX,2024-04-05
SEA,MIL,2024-04-05
BOS,LAA,2024-04-05
OAK,DET,2024-04-06
CLE,MIN,2024-04-06
MIA,STL,2024-04-06
LAD,CHC,2024-04-06
BAL,PIT,2024-04-06
PHI,WSN,2024-04-06
NYM,CIN,2024-04-06
HOU,TEX,2024-04-06
TOR,NYY,2024-04-06
CHW,KCR,2024-04-06
SEA,MIL,2024-04-06
ARI,ATL,2024-04-06
TBR,COL,2024-04-06
SDP,SFG,2024-04-06
BOS,LAA,2024-04-06
BAL,PIT,2024-04-07
PHI,WSN,2024-04-07
ARI,ATL,2024-04-07
TOR,NYY,2024-04-07
NYM,CIN,2024-04-07
OAK,DET,2024-04-07
CLE,MIN,2024-04-07
CHW,KCR,2024-04-07
SEA,MIL,2024-04-07
MIA,STL,2024-04-07
LAD,CHC,2024-04-07
TBR,COL,2024-04-07
SDP,SFG,2024-04-07
BOS,LAA,2024-04-07
HOU,TEX,2024-04-07
MIA,NYY,2024-04-08
CHW,CLE,2024-04-08
DET,PIT,2024-04-08
MIL,CIN,2024-04-08
SEA,TOR,2024-04-08
NYM,ATL,2024-04-08
LAD,MIN,2024-04-08
PHI,STL,2024-04-08
HOU,TEX,2024-04-08
ARI,COL,2024-04-08
TBR,LAA,2024-04-08
CHC,SDP,2024-04-08
WSN,SFG,2024-04-08
DET,PIT,2024-04-09
BAL,BOS,2024-04-09
CHW,CLE,2024-04-09
MIL,CIN,2024-04-09
MIA,NYY,2024-04-09
SEA,TOR,2024-04-09
NYM,ATL,2024-04-09
HOU,KCR,2024-04-09
LAD,MIN,2024-04-09
PHI,STL,2024-04-09
OAK,TEX,2024-04-09
ARI,COL,2024-04-09
TBR,LAA,2024-04-09
WSN,SFG,2024-04-09
CHC,SDP,2024-04-09
LAD,MIN,2024-04-10
PHI,STL,2024-04-10
SEA,TOR,2024-04-10
ARI,COL,2024-04-10
WSN,SFG,2024-04-10
TBR,LAA,2024-04-10
CHW,CLE,2024-04-10
CHC,SDP,2024-04-10
MIL,CIN,2024-04-10
MIA,NYY,2024-04-10
BAL,BOS,2024-04-10
NYM,ATL,2024-04-10
HOU,KCR,2024-04-10
OAK,TEX,2024-04-10
NYM,ATL,2024-04-11
MIN,DET,2024-04-11
MIL,CIN,2024-04-11
HOU,KCR,2024-04-11
OAK,TEX,2024-04-11
PIT,PHI,2024-04-11
BAL,BOS,2024-04-11
MIN,DET,2024-04-12
