rank,player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks,awards
23,Luis Arráez,2024,27,2TM,NL,1,150,672,637,83,200,32,3,4,46,9,3,24,29,0.314,0.346,0.392,0.739,106,0.327,104,250,18,8,2,1,3,ASMVP-18
38,Randy Arozarena,2024,29,2TM,AL,1.7,154,648,549,77,120,33,0,20,60,20,10,73,169,0.219,0.332,0.388,0.72,109,0.323,113,213,7,22,0,4,0,NA
44,Isaac Paredes,2024,25,2TM,2LG,2.7,153,641,542,64,129,25,1,19,80,1,1,76,105,0.238,0.346,0.393,0.739,112,0.331,115,213,17,17,0,6,2,AS
60,Bryan De La Cruz,2024,27,2TM,NL,-1.5,149,622,584,61,136,25,0,21,68,5,2,29,170,0.233,0.271,0.384,0.654,77,0.29,75,224,10,3,0,5,1,NA
63,Jazz Chisholm Jr.,2024,26,2TM,2LG,2.7,147,621,562,74,144,21,4,24,73,40,10,53,152,0.256,0.324,0.436,0.76,107,0.339,106,245,6,4,0,2,5,NA
70,Christopher Morel,2024,25,2TM,2LG,-0.6,152,611,535,56,105,11,3,21,60,8,7,61,159,0.196,0.288,0.346,0.634,80,0.282,80,185,15,10,0,5,3,NA
74,Josh Bell,2024,31,2TM,NL,-0.6,145,603,538,62,134,23,2,19,71,0,1,51,120,0.249,0.319,0.405,0.725,97,0.32,98,218,22,6,0,3,1,NA
89,Jorge Soler,2024,32,2TM,NL,1.1,142,574,493,84,119,34,1,21,64,1,0,68,141,0.241,0.338,0.442,0.78,121,0.343,123,218,9,6,0,4,0,NA
108,Justin Turner,2024,39,2TM,AL,1.5,139,539,460,59,119,24,0,11,55,0,2,59,95,0.259,0.354,0.383,0.737,114,0.328,116,176,16,13,0,7,2,NA
110,Ty France,2024,29,2TM,2LG,-0.6,140,535,479,46,112,24,0,13,51,1,1,38,114,0.234,0.305,0.365,0.67,92,0.301,95,175,16,13,0,5,0,NA
115,Lane Thomas,2024,28,2TM,2LG,0.3,130,528,472,65,112,26,3,15,63,32,14,44,137,0.237,0.309,0.4,0.709,101,0.315,101,189,5,7,0,5,1,NA
128,Jesse Winker,2024,30,2TM,NL,2,145,508,430,63,109,23,0,14,58,14,4,63,106,0.253,0.36,0.405,0.764,118,0.344,122,174,12,10,2,3,2,NA
133,Isiah Kiner-Falefa,2024,29,2TM,2LG,3.6,133,496,465,53,125,18,4,8,43,11,2,16,78,0.269,0.306,0.376,0.683,92,0.308,93,175,12,10,3,2,0,NA
143,Paul DeJong,2024,30,2TM,AL,0.9,139,482,445,54,101,17,0,24,56,2,2,23,156,0.227,0.276,0.427,0.703,97,0.304,95,190,9,9,0,5,0,NA
144,Tommy Pham,2024,36,3TM,2LG,-0.2,116,478,440,49,109,20,3,9,39,7,3,35,106,0.248,0.305,0.368,0.674,91,0.308,96,162,5,2,0,1,0,NA
144,Tommy Pham,2024,36,2TM,AL,0.2,93,401,372,42,95,17,2,7,27,7,3,28,90,0.255,0.309,0.368,0.678,93,0.312,100,137,3,1,0,0,0,NA
157,Mark Canha,2024,35,2TM,2LG,0.6,125,462,393,46,95,20,0,7,42,7,0,51,96,0.242,0.344,0.346,0.69,99,0.321,104,136,10,13,0,5,2,NA
158,Gio Urshela,2024,32,2TM,2LG,0.7,128,461,432,34,108,19,1,9,52,0,0,23,72,0.25,0.286,0.361,0.647,82,0.29,82,156,13,1,0,5,1,NA
240,Elias Díaz,2024,33,2TM,NL,1.3,96,351,325,27,86,20,0,6,39,0,0,20,69,0.265,0.313,0.382,0.695,88,0.309,87,124,15,4,0,2,2,NA
242,Eloy Jiménez,2024,27,2TM,AL,-0.7,98,349,324,25,77,14,0,6,23,3,0,22,70,0.238,0.289,0.336,0.626,81,0.282,80,109,13,2,0,1,1,NA
245,Amed Rosario,2024,28,3TM,2LG,-0.1,103,346,332,29,93,18,3,3,32,13,5,9,73,0.28,0.306,0.38,0.686,94,0.312,98,126,10,4,0,1,0,NA
245,Amed Rosario,2024,28,2TM,NL,-0.6,27,71,68,7,12,1,0,1,6,4,1,2,25,0.176,0.211,0.235,0.447,23,0.231,29,16,1,1,0,0,0,NA
258,Whit Merrifield,2024,35,2TM,NL,0.3,95,335,293,44,65,9,3,4,15,17,3,35,52,0.222,0.311,0.314,0.625,76,0.307,87,92,7,3,4,0,0,NA
265,Danny Jansen,2024,29,2TM,AL,0.7,92,324,278,35,57,13,0,9,24,0,0,40,61,0.205,0.309,0.349,0.658,87,0.302,91,97,4,3,0,3,0,NA
267,Eddie Rosario,2024,32,2TM,NL,-1.6,91,319,297,33,52,12,0,10,35,9,1,16,77,0.175,0.215,0.316,0.531,48,0.241,43,94,4,0,2,4,0,NA
272,Kevin Pillar,2024,35,2TM,AL,0.4,100,314,284,38,65,16,1,8,45,12,3,16,69,0.229,0.291,0.377,0.667,88,0.298,86,107,10,10,1,3,0,NA
