date,team,opponent,runs_for,runs_against,win
2024-03-20,SDP,LAD,2,8,FALSE
2024-03-21,LAD,SDP,3,6,FALSE
2024-03-28,NYM,MIL,1,6,FALSE
2024-03-28,BAL,LAA,2,1,TRUE
2024-03-28,PHI,ATL,2,6,FALSE
2024-03-28,CIN,WSN,0,1,FALSE
2024-03-28,SDP,SFG,2,1,TRUE
2024-03-28,LAD,STL,3,1,TRUE
2024-03-28,TBR,TOR,5,1,TRUE
2024-03-28,KCR,MIN,10,2,TRUE
2024-03-28,CHW,DET,2,0,TRUE
2024-03-28,MIA,PIT,7,2,TRUE
2024-03-28,HOU,NYY,0,5,FALSE
2024-03-28,TEX,CHC,0,5,FALSE
2024-03-28,OAK,CLE,6,3,TRUE
2024-03-28,ARI,COL,7,5,TRUE
2024-03-28,SEA,BOS,3,4,FALSE
2024-03-29,TBR,TOR,4,1,TRUE
2024-03-29,MIA,PIT,1,3,FALSE
2024-03-29,HOU,NYY,2,1,TRUE
2024-03-29,ARI,COL,6,3,TRUE
2024-03-29,OAK,CLE,5,5,FALSE
2024-03-29,SEA,BOS,2,0,TRUE
2024-03-29,SDP,SFG,3,5,FALSE
2024-03-29,LAD,STL,7,9,FALSE
2024-03-30,NYM,MIL,9,5,TRUE
2024-03-30,CHW,DET,2,0,TRUE
2024-03-30,BAL,LAA,5,3,TRUE
2024-03-30,PHI,ATL,5,1,TRUE
2024-03-30,OAK,CLE,3,17,FALSE
2024-03-30,CIN,WSN,6,8,FALSE
2024-03-30,TBR,TOR,8,1,TRUE
2024-03-30,KCR,MIN,1,2,FALSE
2024-03-30,MIA,PIT,3,8,FALSE
2024-03-30,TEX,CHC,2,5,FALSE
2024-03-30,SDP,SFG,2,4,FALSE
2024-03-30,HOU,NYY,2,1,TRUE
2024-03-30,ARI,COL,2,2,FALSE
2024-03-30,LAD,STL,5,6,FALSE
2024-03-30,SEA,BOS,8,3,TRUE
2024-03-31,BAL,LAA,7,0,TRUE
2024-03-31,PHI,ATL,6,2,TRUE
2024-03-31,CIN,WSN,9,4,TRUE
2024-03-31,TBR,TOR,11,14,FALSE
2024-03-31,MIA,PIT,2,2,FALSE
2024-03-31,NYM,MIL,12,0,TRUE
2024-03-31,KCR,MIN,5,5,FALSE
2024-03-31,CHW,DET,5,0,TRUE
2024-03-31,HOU,NYY,1,6,FALSE
2024-03-31,TEX,CHC,1,2,FALSE
2024-03-31,OAK,CLE,1,2,FALSE
2024-03-31,ARI,COL,4,5,FALSE
2024-03-31,SEA,BOS,2,7,FALSE
2024-03-31,SDP,SFG,0,3,FALSE
2024-03-31,LAD,STL,4,11,FALSE
2024-04-01,CHW,ATL,1,2,FALSE
2024-04-01,CHC,COL,4,4,FALSE
2024-04-01,WSN,PIT,2,2,FALSE
2024-04-01,BAL,KCR,1,2,FALSE
2024-04-01,PHI,CIN,1,5,FALSE
2024-04-01,MIA,LAA,4,3,TRUE
2024-04-01,TBR,TEX,4,5,FALSE
2024-04-01,NYM,DET,5,6,FALSE
2024-04-01,HOU,TOR,6,4,TRUE
2024-04-01,OAK,BOS,3,8,FALSE
2024-04-01,SEA,CLE,4,4,FALSE
2024-04-01,SDP,STL,5,5,FALSE
2024-04-01,ARI,NYY,1,17,FALSE
2024-04-01,LAD,SFG,7,3,TRUE
2024-04-02,MIL,MIN,0,7,FALSE
2024-04-02,BAL,KCR,2,5,FALSE
2024-04-02,PHI,CIN,0,3,FALSE
2024-04-02,MIA,LAA,8,3,TRUE
2024-04-02,TBR,TEX,4,1,TRUE
2024-04-02,NYM,DET,2,2,FALSE
2024-04-02,CHC,COL,3,6,FALSE
2024-04-02,CHW,ATL,1,1,FALSE
2024-04-02,HOU,TOR,6,1,TRUE
2024-04-02,OAK,BOS,4,3,TRUE
2024-04-02,SEA,CLE,1,3,FALSE
2024-04-02,SDP,STL,5,3,TRUE
2024-04-02,ARI,NYY,0,6,FALSE
2024-04-02,LAD,SFG,3,3,FALSE
2024-04-03,BAL,KCR,1,5,FALSE
2024-04-03,PHI,CIN,1,5,FALSE
2024-04-03,TBR,TEX,3,3,FALSE
2024-04-03,MIA,LAA,3,2,TRUE
2024-04-03,MIL,MIN,2,10,FALSE
2024-04-03,CHW,ATL,2,3,FALSE
2024-04-03,OAK,BOS,3,4,FALSE
2024-04-03,ARI,NYY,0,9,FALSE
2024-04-03,SEA,CLE,2,6,FALSE
2024-04-03,SDP,STL,0,5,FALSE
2024-04-03,WSN,PIT,1,4,FALSE
2024-04-03,NYM,DET,4,0,TRUE
2024-04-03,CHC,COL,2,3,FALSE
2024-04-03,HOU,TOR,1,1,FALSE
2024-04-03,LAD,SFG,2,1,TRUE
2024-04-04,WSN,PIT,2,5,FALSE
2024-04-04,MIN,CLE,0,0,FALSE
2024-04-04,STL,MIA,4,0,TRUE
2024-04-04,KCR,CHW,1,1,FALSE
2024-04-05,NYY,TOR,0,11,FALSE
2024-04-05,DET,OAK,3,0,TRUE
2024-04-05,CHC,LAD,3,7,FALSE
2024-04-05,COL,TBR,3,0,TRUE
2024-04-05,PIT,BAL,3,7,FALSE
2024-04-05,SFG,SDP,3,3,FALSE
2024-04-05,CIN,NYM,5,2,TRUE
2024-04-05,WSN,PHI,0,10,FALSE
2024-04-05,ATL,ARI,2,1,TRUE
2024-04-05,KCR,CHW,0,9,FALSE
2024-04-05,TEX,HOU,7,4,TRUE
2024-04-05,MIL,SEA,3,0,TRUE
2024-04-05,LAA,BOS,4,5,FALSE
2024-04-06,DET,OAK,3,2,TRUE
2024-04-06,MIN,CLE,5,7,FALSE
2024-04-06,STL,MIA,6,0,TRUE
2024-04-06,CHC,LAD,0,5,FALSE
2024-04-06,PIT,BAL,2,0,TRUE
2024-04-06,WSN,PHI,2,4,FALSE
2024-04-06,CIN,NYM,6,3,TRUE
2024-04-06,TEX,HOU,7,2,TRUE
2024-04-06,NYY,TOR,5,1,TRUE
2024-04-06,KCR,CHW,0,3,FALSE
2024-04-06,MIL,SEA,3,6,FALSE
2024-04-06,ATL,ARI,10,2,TRUE
2024-04-06,COL,TBR,1,1,FALSE
2024-04-06,SFG,SDP,3,3,FALSE
2024-04-06,LAA,BOS,1,2,FALSE
2024-04-07,PIT,BAL,1,6,FALSE
2024-04-07,WSN,PHI,4,14,FALSE
2024-04-07,ATL,ARI,5,3,TRUE
2024-04-07,NYY,TOR,3,5,FALSE
2024-04-07,CIN,NYM,2,1,TRUE
2024-04-07,DET,OAK,2,1,TRUE
2024-04-07,MIN,CLE,1,0,TRUE
2024-04-07,KCR,CHW,0,5,FALSE
2024-04-07,MIL,SEA,2,9,FALSE
2024-04-07,STL,MIA,5,7,FALSE
2024-04-07,CHC,LAD,2,0,TRUE
2024-04-07,COL,TBR,7,5,TRUE
2024-04-07,SFG,SDP,7,3,TRUE
2024-04-07,LAA,BOS,5,13,FALSE
2024-04-07,TEX,HOU,11,4,TRUE
2024-04-08,NYY,MIA,1,10,FALSE
2024-04-08,CLE,CHW,1,0,TRUE
2024-04-08,PIT,DET,1,2,FALSE
2024-04-08,CIN,MIL,2,11,FALSE
2024-04-08,TOR,SEA,0,1,FALSE
2024-04-08,ATL,NYM,2,0,TRUE
2024-04-08,MIN,LAD,1,3,FALSE
2024-04-08,STL,PHI,4,1,TRUE
2024-04-08,TEX,HOU,1,5,FALSE
2024-04-08,COL,ARI,5,3,TRUE
2024-04-08,LAA,TBR,8,10,FALSE
2024-04-08,SDP,CHC,3,2,TRUE
2024-04-08,SFG,WSN,1,8,FALSE
2024-04-09,PIT,DET,4,6,FALSE
2024-04-09,BOS,BAL,3,1,TRUE
2024-04-09,CLE,CHW,7,4,TRUE
2024-04-09,CIN,MIL,2,2,FALSE
2024-04-09,NYY,MIA,11,6,TRUE
2024-04-09,TOR,SEA,1,3,FALSE
2024-04-09,ATL,NYM,9,4,TRUE
2024-04-09,KCR,HOU,6,0,TRUE
2024-04-09,MIN,LAD,4,0,TRUE
2024-04-09,STL,PHI,0,2,FALSE
2024-04-09,TEX,OAK,5,2,TRUE
2024-04-09,COL,ARI,6,0,TRUE
2024-04-09,LAA,TBR,2,1,TRUE
2024-04-09,SFG,WSN,1,5,FALSE
2024-04-09,SDP,CHC,2,7,FALSE
2024-04-10,MIN,LAD,0,7,FALSE
2024-04-10,STL,PHI,0,7,FALSE
2024-04-10,TOR,SEA,7,8,FALSE
2024-04-10,COL,ARI,3,8,FALSE
2024-04-10,SFG,WSN,6,2,TRUE
2024-04-10,LAA,TBR,3,5,FALSE
2024-04-10,CLE,CHW,6,3,TRUE
2024-04-10,SDP,CHC,0,8,FALSE
2024-04-10,CIN,MIL,6,1,TRUE
2024-04-10,NYY,MIA,1,1,FALSE
2024-04-10,BOS,BAL,1,2,FALSE
2024-04-10,ATL,NYM,3,1,TRUE
2024-04-10,KCR,HOU,1,7,FALSE
2024-04-10,TEX,OAK,3,3,FALSE
2024-04-11,ATL,NYM,1,3,FALSE
2024-04-11,DET,MIN,4,2,TRUE
2024-04-11,CIN,MIL,5,2,TRUE
2024-04-11,KCR,HOU,1,0,TRUE
2024-04-11,TEX,OAK,0,4,FALSE
2024-04-11,PHI,PIT,0,6,FALSE
2024-04-11,BOS,BAL,8,3,TRUE
2024-04-12,DET,MIN,3,2,TRUE
2024-04-12,PHI,PIT,1,0,TRUE
2024-04-12,TBR,SFG,0,3,FALSE
2024-04-12,BAL,MIL,3,0,TRUE
2024-04-12,TOR,COL,2,2,FALSE
2024-04-12,BOS,LAA,4,0,TRUE
2024-04-12,NYM,KCR,2,5,FALSE
2024-04-12,MIA,ATL,2,9,FALSE
2024-04-12,CLE,NYY,1,2,FALSE
2024-04-12,CHW,CIN,2,5,FALSE
2024-04-12,HOU,TEX,7,3,TRUE
2024-04-12,OAK,WSN,3,8,FALSE
2024-04-12,SEA,CHC,3,0,TRUE
2024-04-12,ARI,STL,11,8,TRUE
2024-04-12,LAD,SDP,7,0,TRUE
2024-04-13,DET,MIN,2,7,FALSE
2024-04-13,NYM,KCR,5,4,TRUE
2024-04-13,CHW,CIN,2,6,FALSE
2024-04-13,TOR,COL,6,4,TRUE
2024-04-13,HOU,TEX,0,3,FALSE
2024-04-13,PHI,PIT,0,5,FALSE
2024-04-13,BAL,MIL,1,2,FALSE
2024-04-13,OAK,WSN,6,4,TRUE
2024-04-13,BOS,LAA,7,6,TRUE
2024-04-13,TBR,SFG,0,0,FALSE
2024-04-13,MIA,ATL,1,5,FALSE
2024-04-13,CLE,NYY,1,2,FALSE
2024-04-13,ARI,STL,3,9,FALSE
2024-04-13,LAD,SDP,1,3,FALSE
2024-04-13,SEA,CHC,9,8,TRUE
2024-04-14,BOS,LAA,5,3,TRUE
2024-04-14,PHI,PIT,2,1,TRUE
2024-04-14,BAL,MIL,3,2,TRUE
2024-04-14,TOR,COL,1,4,FALSE
2024-04-14,NYM,KCR,4,1,TRUE
2024-04-14,TBR,SFG,6,5,TRUE
2024-04-14,DET,MIN,5,1,TRUE
2024-04-14,MIA,ATL,1,6,FALSE
2024-04-14,CLE,NYY,4,7,FALSE
2024-04-14,HOU,TEX,0,2,FALSE
2024-04-14,CHW,CIN,2,0,TRUE
2024-04-14,OAK,WSN,1,4,FALSE
2024-04-14,SEA,CHC,1,5,FALSE
2024-04-14,ARI,STL,2,6,FALSE
2024-04-14,LAD,SDP,2,3,FALSE
2024-04-15,BOS,CLE,2,6,FALSE
2024-04-15,BAL,MIN,4,1,TRUE
2024-04-15,DET,TEX,4,4,FALSE
2024-04-15,PHI,COL,10,0,TRUE
2024-04-15,MIA,SFG,1,1,FALSE
2024-04-15,TBR,LAA,2,1,TRUE
2024-04-15,TOR,NYY,8,4,TRUE
2024-04-15,NYM,PIT,1,2,FALSE
2024-04-15,CHW,KCR,2,2,FALSE
2024-04-15,MIL,SDP,0,2,FALSE
2024-04-15,HOU,ATL,2,4,FALSE
2024-04-15,ARI,CHC,1,5,FALSE
2024-04-15,OAK,STL,1,1,FALSE
2024-04-15,SEA,CIN,10,4,TRUE
2024-04-15,LAD,WSN,5,3,TRUE
2024-04-16,DET,TEX,3,2,TRUE
2024-04-16,BAL,MIN,4,4,FALSE
2024-04-16,PHI,COL,9,3,TRUE
2024-04-16,MIA,SFG,1,4,FALSE
2024-04-16,TBR,LAA,3,2,TRUE
2024-04-16,TOR,NYY,2,3,FALSE
2024-04-16,BOS,CLE,4,2,TRUE
2024-04-16,NYM,PIT,1,8,FALSE
2024-04-16,CHW,KCR,5,11,FALSE
2024-04-16,MIL,SDP,5,5,FALSE
2024-04-16,HOU,ATL,3,8,FALSE
2024-04-16,ARI,CHC,3,2,TRUE
2024-04-16,SEA,CIN,0,7,FALSE
2024-04-16,OAK,STL,0,1,FALSE
2024-04-16,LAD,WSN,2,4,FALSE
2024-04-17,MIA,SFG,2,2,FALSE
2024-04-17,BAL,MIN,3,6,FALSE
2024-04-17,NYM,PIT,4,4,FALSE
2024-04-17,DET,TEX,6,2,TRUE
2024-04-17,MIL,SDP,1,2,FALSE
2024-04-17,HOU,ATL,6,4,TRUE
2024-04-17,CHW,KCR,2,4,FALSE
2024-04-17,TOR,NYY,1,4,FALSE
2024-04-17,LAD,WSN,4,0,TRUE
2024-04-17,OAK,STL,4,6,FALSE
2024-04-17,ARI,CHC,3,3,FALSE
2024-04-17,SEA,CIN,1,0,TRUE
2024-04-17,PHI,COL,1,4,FALSE
2024-04-17,TBR,LAA,3,1,TRUE
2024-04-17,BOS,CLE,0,1,FALSE
2024-04-18,TBR,LAA,5,2,TRUE
2024-04-18,DET,TEX,9,7,TRUE
2024-04-18,BOS,CLE,3,2,TRUE
2024-04-18,CHC,MIA,6,1,TRUE
2024-04-18,SFG,ARI,2,5,FALSE
2024-04-19,CHC,MIA,3,0,TRUE
2024-04-19,CIN,LAA,5,4,TRUE
2024-04-19,PIT,BOS,2,1,TRUE
2024-04-19,PHI,CHW,0,6,FALSE
2024-04-19,WSN,HOU,7,3,TRUE
2024-04-19,NYY,TBR,2,3,FALSE
2024-04-19,CLE,OAK,3,3,FALSE
2024-04-19,ATL,TEX,1,2,FALSE
2024-04-19,KCR,BAL,6,7,FALSE
2024-04-19,MIN,DET,1,0,TRUE
2024-04-19,STL,MIL,0,5,FALSE
2024-04-19,COL,SEA,2,6,FALSE
2024-04-19,SDP,TOR,2,0,TRUE
2024-04-19,LAD,NYM,3,6,FALSE
2024-04-19,SFG,ARI,0,1,FALSE
2024-04-20,NYY,TBR,3,4,FALSE
2024-04-20,MIN,DET,0,9,FALSE
2024-04-20,STL,MIL,2,9,FALSE
2024-04-20,CHC,MIA,0,4,FALSE
